x xf_bbar xf_cbar xf_sbar xf_ubar xf_dbar xf_gluon xf_d xf_u xf_s xf_c xf_b
1.0511722594709938e-05 -6.30880732095274e-16 8.992429002218964 9.414572934719224 9.660784846597705 9.661457991487028 363.0755305056795 9.672561131301908 9.682980801796141 9.414479509806169 8.992429002218964 -3.9975216543824235e-16
1.0552153828694825e-05 -6.30514585497139e-16 8.978450304036654 9.40033571404707 9.646427856405282 9.64710256543663 362.45788047049433 9.658219754320942 9.668653871879654 9.400242023899725 8.978450304036654 -3.9940753355791406e-16
1.0592740573317195e-05 -6.304709047677518e-16 8.964489377298225 9.38611641598518 9.63208877104469 9.632765047622987 361.841086789017 9.643896305580247 9.654344885863004 9.386022459890915 8.964489377298227 -3.9947082913420357e-16
1.0633483426717505e-05 -6.307467065726659e-16 8.950546390541623 9.371915211679331 9.617767762542591 9.618445610080494 361.2251570826626 9.629590957109905 9.64005401573705 9.371820988923469 8.950546390541623 -3.9993518945597743e-16
1.067438298933692e-05 -6.31338885711011e-16 8.936621508498911 9.35773226841628 9.603464999048779 9.604144420966826 360.6100987970954 9.61530387706475 9.62578142961887 9.35763777828207 8.936621508498911 -4.0079352622495436e-16
1.0715439863925997e-05 -6.322442128942972e-16 8.922714891986857 9.343567749512724 9.589180644724602 9.589861644451373 359.99591919721433 9.601035229612833 9.611527291640307 9.343472991281338 8.922714891986859 -4.020385215982492e-16
1.0756654655553739e-05 -6.334593324927285e-16 8.908826697795492 9.329421814202252 9.574914859629308 9.575597440601605 359.38262536204667 9.586785174821808 9.597291761834397 9.329326787152743 8.908826697795492 -4.0366262417387593e-16
1.079802797161634e-05 -6.349807602485852e-16 8.894957078574956 9.31529461752051 9.560667799604651 9.56135196526765 358.77022417956204 9.572553868543572 9.583074996020056 9.31519932092979 8.894957078574956 -4.056580449184532e-16
1.0839560421846305e-05 -6.368048809562542e-16 8.881106182720266 9.301186310188296 9.54643961615739 9.547125369964823 358.1587223413939 9.558341462296845 9.568877145684695 9.30109074333112 8.881106182720266 -4.0801675303636617e-16
1.0881252618321272e-05 -6.389279461084459e-16 8.867274154254313 9.28709703849283 9.532230456339944 9.53291780175428 357.5481263374774 9.544148103147842 9.554698357864961 9.287001200641775 8.867274154254314 -4.107304717795934e-16
1.0923105175473193e-05 -6.413460715081759e-16 8.853461132708766 9.273026944166919 9.518040462628957 9.518729403121581 356.938442450593 9.529973933588899 9.540538775025404 9.272930834592351 8.853461132708768 -4.1379067419745077e-16
1.0965118710097226e-05 -6.440552348460299e-16 8.839667253003094 9.258976164266201 9.503869772801915 9.504560311853313 356.32967675082375 9.515819091415139 9.526398534935195 9.258879782236255 8.839667253003096 -4.1718857882542564e-16
1.1007293841360974e-05 -6.470512732422822e-16 8.825892645321476 9.244944831044252 9.489718519811605 9.490410660911554 355.72183508991577 9.501683709598982 9.512277770542696 9.244848175824796 8.825892645321476 -4.209151453123453e-16
1.1049631190813543e-05 -6.503298807533838e-16 8.812137434987726 9.230933071825675 9.475586831658584 9.47628057830635 355.11492309554876 9.487567916162666 9.498176609848011 9.2308361426803 8.812137434987728 -4.2496106998503414e-16
